C,Kernel,Gamma,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
0.1,linear,scale,,0.6417569880205363,0.0,0.0,1125,0,628,0
0.1,linear,scale,balanced,0.4940102681118083,0.3506343713956171,0.4840764331210191,562,563,324,304
0.1,linear,auto,,0.6417569880205363,0.0,0.0,1125,0,628,0
0.1,linear,auto,balanced,0.4940102681118083,0.3506343713956171,0.4840764331210191,562,563,324,304
0.1,rbf,scale,,0.6417569880205363,0.0,0.0,1125,0,628,0
0.1,rbf,scale,balanced,0.5077010838562465,0.35367372353673726,0.45222929936305734,606,519,344,284
0.1,rbf,auto,,0.6417569880205363,0.0,0.0,1125,0,628,0
0.1,rbf,auto,balanced,0.5077010838562465,0.35367372353673726,0.45222929936305734,606,519,344,284
0.1,poly,scale,,0.6417569880205363,0.0,0.0,1125,0,628,0
